#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-02-27T16:24:53 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e57ecdb58ba	
#INFO	-out.max=unlimited	
#INFO	queryParameters=30	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/AJ/140/34&tab:{J/AJ/140/34/table3}&key:source=J/AJ/140/34/table1&HTTPPRM:&&-ref=VIZ5e57ecdb58ba&-out.max=50&-out.form=Detailed results&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Nova&-out=Year&-out=T0&-out=Tpeak&-out=Vpeak&-out=t2&-out=t3&-out=t6&-out=t9&-out=l_VQ&-out=VQ&-out=tQ&-out=n_tQ&-out=Class&-out=lc&-ignore=lc=*&lc=lc&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/140/34/table1&
#-source= J/AJ/140/34/table3
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out=Nova
#-out=Year
#-out=T0
#-out=Tpeak
#-out=Vpeak
#-out=t2
#-out=t3
#-out=t6
#-out=t9
#-out=l_VQ
#-out=VQ
#-out=tQ
#-out=n_tQ
#-out=Class
#-out=lc
#-out=Simbad
#Simbad=Simbad
#-out=_RA
#-out=_DE
#-out.src=J/AJ/140/34/table1
#-source=J/AJ/140/34
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_51400034
#Name: J/AJ/140/34
#Title: Classification of nova light curves (Strope+, 2010)
#Table	J_AJ_140_34_table3:
#Name: J/AJ/140/34/table3
#Title: Definitions and examples of light curve classes
#Column	Class	(A1)	[SPDCOFJ] Class code	[ucd=meta.code.class]
#Column	Def	(a102)	Definition	[ucd=meta.note]
#Column	Ex	(a31)	Examples	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
Class|Def|Ex|Simbad
 | | |
-|------------------------------------------------------------------------------------------------------|-------------------------------|------
S|Smooth; power-law decline with no major fluctuations                                                  |CP Lac, V1668 Cyg, V2275 Cyg   |Simbad
P|Plateau; smooth decline interrupted by a long-lasting nearly flat interval followed by steeper decline|V4633 Sgr, CP Pup, RS Oph      |Simbad
D|Dust dip; decline interrupted by fast decline, minimum, and recovery to just below original decline   |DQ Her, FH Ser, V705 Cas       |Simbad
C|Cusp; power-law decline plus secondary maximum with steepening rise then steep decline                |V2362 Cyg, V1493 Aql, V2491 Cyg|Simbad
O|Oscillations; smooth decline with interval showing quasi-sinusoidal variations                        |V603 Aql, GK Per, V1494 Aql    |Simbad
F|Flat topped; smooth light curve with an extended interval at the peak with near constant brightness   |DO Aql, V849 Oph, BT Mon       |Simbad
J|Jitter; decline displays substantial variability often as short-duration brightenings                 |DK Lac, HR Del, V723 Cas       |Simbad

#Table	J_AJ_140_34_table1:
#Name: J/AJ/140/34/table1
#Title: Catalogued novae and their primary light curve properties
#Column	Nova	(A9)	Nova name	[ucd=meta.id;meta.main]
#Column	Year	(I4)	Year of discovery	[ucd=time.epoch]
#Column	T0	(I7)	Fiducial time (JD)	[ucd=time.epoch]
#Column	Tpeak	(I7)	Peak time (JD)	[ucd=time.epoch]
#Column	Vpeak	(F4.1)	Peak magnitude	[ucd=phot.mag;em.opt.V]
#Column	t2	(I3)	Time to decline by 2mag from maximum	[ucd=time.interval]
#Column	t3	(I3)	Time to decline by 3mag from maximum	[ucd=time.interval]
#Column	t6	(I4)	? Time to decline by 6mag from maximum [NULL integer written as an empty string]	[ucd=time.interval]
#Column	t9	(I4)	? Time to decline by 9mag from maximum [NULL integer written as an empty string]	[ucd=time.interval]
#Column	l_VQ	(A1)	[~>] Limit flag on VQ	[ucd=meta.code.error]
#Column	VQ	(F4.1)	Magnitude in quiescence	[ucd=phot.mag;em.opt.V]
#Column	tQ	(I5)	? Time of quiescence [NULL integer written as an empty string]	[ucd=time.interval]
#Column	n_tQ	(A1)	[a] bright quiescence (1)	[ucd=meta.note]
#Column	Class	(A6)	Class (2)	[ucd=meta.code;src.var]
#Column	lc	(A2)	light curve	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Nova|Year|T0|Tpeak|Vpeak|t2|t3|t6|t9|l_VQ|VQ|tQ|n_tQ|Class|lc|Simbad|_RA|_DE
DQ Her   |2427900.500|  114.50| 8.45| 0.09|   6
DQ Her   |2427901.500|  115.50| 9.15| 0.08|   4
DQ Her   |2427902.500|  116.50| 9.15| 0.32|   2
DQ Her   |2427903.500|  117.50| 9.59| 0.05|   8
DQ Her   |2427904.500|  118.50| 9.43| 0.09|   3
DQ Her   |2427905.500|  119.50| 9.80| 0.09|   3
DQ Her   |2427906.500|  120.50| 9.90| 0.08|   6
DQ Her   |2427907.500|  121.50|10.20| 0.15|   1
DQ Her   |2427908.500|  122.50|10.25| 0.11|   2
DQ Her   |2427909.500|  123.50|10.50| 0.15|   1
DQ Her   |2427910.500|  124.50|10.28| 0.07|   5
DQ Her   |2427911.500|  125.50|10.93| 0.09|   3
DQ Her   |2427912.500|  126.50|10.88| 0.10|   5
DQ Her   |2427913.500|  127.50|10.98| 0.11|   4
DQ Her   |2427914.500|  128.50|10.83| 0.15|   3
DQ Her   |2427915.500|  129.50|11.40| 0.16|   3
DQ Her   |2427916.500|  130.50|11.87| 0.11|   3
DQ Her   |2427917.500|  131.50|12.16| 0.13|   5
DQ Her   |2427918.500|  132.50|12.42| 0.24|   6
DQ Her   |2427919.500|  133.50|12.40| 0.11|   2
DQ Her   |2427922.500|  136.50|12.50| 0.15|   1
DQ Her   |2427923.500|  137.50|12.70| 0.14|   2
DQ Her   |2427924.500|  138.50|12.90| 0.15|   1
DQ Her   |2427925.500|  139.50|12.77| 0.10|   3
DQ Her   |2427926.500|  140.50|13.00| 0.21|   2
DQ Her   |2427927.500|  141.50|12.88| 0.14|   4
DQ Her   |2427929.500|  143.50|12.20| 0.14|   2
DQ Her   |2427930.500|  144.50|12.00| 0.15|   1
DQ Her   |2427931.500|  145.50|12.33| 0.17|   3
DQ Her   |2427932.500|  146.50|12.30| 0.16|   5
DQ Her   |2427933.500|  147.50|12.35| 0.33|   4
DQ Her   |2427934.500|  148.50|11.64| 0.19|   5
DQ Her   |2427935.500|  149.50|11.83| 0.14|   4
DQ Her   |2427937.500|  151.50|10.90| 0.14|   3
DQ Her   |2427938.500|  152.50|10.78| 0.14|   6
DQ Her   |2427939.500|  153.50|11.17| 0.32|   3
DQ Her   |2427940.500|  154.50|10.85| 0.11|   6
DQ Her   |2427941.500|  155.50|10.32| 0.12|   5
DQ Her   |2427942.500|  156.50|10.40| 0.08|   6
DQ Her   |2427943.500|  157.50|10.19| 0.14|   7
DQ Her   |2427944.500|  158.50|10.17| 0.08|  10
DQ Her   |2427945.500|  159.50| 9.98| 0.11|  10
DQ Her   |2427946.500|  160.50| 9.91| 0.10|  16
DQ Her   |2427947.500|  161.50| 9.64| 0.09|  20
DQ Her   |2427948.500|  162.50| 9.61| 0.08|  17
DQ Her   |2427949.500|  163.50| 9.51| 0.07|  14
DQ Her   |2427952.000|  166.00| 9.24| 0.06|  33
DQ Her   |2427956.000|  170.00| 8.94| 0.06|  35
DQ Her   |2427960.000|  174.00| 8.63| 0.07|  28
DQ Her   |2427964.000|  178.00| 8.26| 0.05|  35
DQ Her   |2427968.000|  182.00| 8.07| 0.05|  39
DQ Her   |2427972.000|  186.00| 7.74| 0.04|  31
DQ Her   |2427976.000|  190.00| 7.68| 0.04|  48
DQ Her   |2427980.000|  194.00| 7.54| 0.04|  69
DQ Her   |2427984.000|  198.00| 7.51| 0.05|  66
DQ Her   |2427988.000|  202.00| 7.30| 0.04|  73
DQ Her   |2427992.000|  206.00| 7.21| 0.04|  49
DQ Her   |2427996.000|  210.00| 7.17| 0.05|  57
DQ Her   |2428000.000|  214.00| 7.09| 0.06|  44
DQ Her   |2428004.000|  218.00| 7.07| 0.05|  47
DQ Her   |2428008.000|  222.00| 6.94| 0.05|  50
DQ Her   |2428012.000|  226.00| 6.80| 0.04|  75
DQ Her   |2428016.000|  230.00| 6.92| 0.06|  53
DQ Her   |2428020.000|  234.00| 6.85| 0.06|  51
DQ Her   |2428024.000|  238.00| 6.90| 0.06|  38
DQ Her   |2428028.000|  242.00| 6.78| 0.08|  26
DQ Her   |2428032.000|  246.00| 6.80| 0.05|  46
DQ Her   |2428036.000|  250.00| 6.77| 0.05|  53
DQ Her   |2428040.000|  254.00| 6.80| 0.05|  73
DQ Her   |2428044.000|  258.00| 6.82| 0.06|  52
DQ Her   |2428048.000|  262.00| 6.76| 0.07|  30
DQ Her   |2428052.000|  266.00| 6.80| 0.05|  57
DQ Her   |2428056.000|  270.00| 6.79| 0.05|  43
DQ Her   |2428060.000|  274.00| 6.72| 0.05|  38
DQ Her   |2428064.000|  278.00| 6.76| 0.04|  60
DQ Her   |2428068.000|  282.00| 6.76| 0.04|  77
DQ Her   |2428072.000|  286.00| 6.74| 0.06|  43
DQ Her   |2428076.000|  290.00| 6.78| 0.05|  65
DQ Her   |2428080.000|  294.00| 6.79| 0.05|  40
DQ Her   |2428084.000|  298.00| 6.78| 0.04|  39
DQ Her   |2428088.000|  302.00| 6.73| 0.06|  26
DQ Her   |2428092.000|  306.00| 6.85| 0.04|  66
DQ Her   |2428096.000|  310.00| 6.83| 0.05|  50
DQ Her   |2428100.000|  314.00| 6.83| 0.06|  44
DQ Her   |2428104.000|  318.00| 6.83| 0.07|  30
DQ Her   |2428108.000|  322.00| 6.97| 0.07|  30
DQ Her   |2428112.000|  326.00| 6.84| 0.06|  34
DQ Her   |2428116.000|  330.00| 6.97| 0.09|  17
DQ Her   |2428120.000|  334.00| 6.79| 0.07|  22
DQ Her   |2428124.000|  338.00| 6.84| 0.09|  21
DQ Her   |2428128.000|  342.00| 6.92| 0.07|  30
DQ Her   |2428132.000|  346.00| 6.92| 0.06|  39
DQ Her   |2428136.000|  350.00| 6.91| 0.08|  27
DQ Her   |2428140.000|  354.00| 7.00| 0.08|  25
DQ Her   |2428144.000|  358.00| 6.82| 0.06|  15
DQ Her   |2428148.000|  362.00| 6.96| 0.10|  19
DQ Her   |2428152.000|  366.00| 6.99| 0.09|  15
DQ Her   |2428156.000|  370.00| 7.00| 0.07|  30
DQ Her   |2428160.000|  374.00| 6.94| 0.08|  28
DQ Her   |2428164.000|  378.00| 6.88| 0.11|  16
DQ Her   |2428168.000|  382.00| 6.99| 0.18|   8
DQ Her   |2428176.000|  390.00| 7.00| 0.08|   5
DQ Her   |2428180.000|  394.00| 7.13| 0.11|   6
DQ Her   |2428184.000|  398.00| 7.16| 0.10|  11
DQ Her   |2428188.000|  402.00| 7.29| 0.12|   8
DQ Her   |2428192.000|  406.00| 7.02| 0.11|   9
DQ Her   |2428196.000|  410.00| 6.80| 0.07|   5
DQ Her   |2428200.000|  414.00| 6.80| 0.14|   2
DQ Her   |2428206.000|  420.00| 7.10| 0.10|   7
DQ Her   |2428214.000|  428.00| 7.08| 0.07|  13
DQ Her   |2428222.000|  436.00| 7.09| 0.09|  10
DQ Her   |2428230.000|  444.00| 7.24| 0.09|  13
DQ Her   |2428238.000|  452.00| 7.40| 0.11|   8
DQ Her   |2428246.000|  460.00| 7.20| 0.09|  14
DQ Her   |2428254.000|  468.00| 7.13| 0.09|  24
DQ Her   |2428262.000|  476.00| 7.00| 0.14|   2
DQ Her   |2428270.000|  484.00| 7.16| 0.06|  31
DQ Her   |2428278.000|  492.00| 7.19| 0.05|  37
DQ Her   |2428286.000|  500.00| 7.23| 0.03|  38
DQ Her   |2428294.000|  508.00| 7.32| 0.05|  41
DQ Her   |2428302.000|  516.00| 7.24| 0.05|  65
DQ Her   |2428310.000|  524.00| 7.33| 0.04|  71
DQ Her   |2428318.000|  532.00| 7.37| 0.04|  45
DQ Her   |2428326.000|  540.00| 7.39| 0.05|  47
DQ Her   |2428334.000|  548.00| 7.42| 0.05|  63
DQ Her   |2428342.000|  556.00| 7.48| 0.05|  61
DQ Her   |2428350.000|  564.00| 7.38| 0.04|  43
DQ Her   |2428358.000|  572.00| 7.46| 0.04|  67
DQ Her   |2428366.000|  580.00| 7.37| 0.05|  59
DQ Her   |2428374.000|  588.00| 7.44| 0.03|  62
DQ Her   |2428382.000|  596.00| 7.45| 0.04|  46
DQ Her   |2428390.000|  604.00| 7.54| 0.04|  55
DQ Her   |2428398.000|  612.00| 7.53| 0.03|  56
DQ Her   |2428406.000|  620.00| 7.49| 0.03|  71
DQ Her   |2428414.000|  628.00| 7.61| 0.03|  50
DQ Her   |2428422.000|  636.00| 7.61| 0.03|  63
DQ Her   |2428430.000|  644.00| 7.60| 0.03|  69
DQ Her   |2428438.000|  652.00| 7.51| 0.04|  34
DQ Her   |2428446.000|  660.00| 7.60| 0.03|  52
DQ Her   |2428454.000|  668.00| 7.65| 0.03|  74
DQ Her   |2428462.000|  676.00| 7.57| 0.04|  49
DQ Her   |2428470.000|  684.00| 7.57| 0.04|  33
DQ Her   |2428478.000|  692.00| 7.63| 0.03|  48
DQ Her   |2428486.000|  700.00| 7.73| 0.03|  76
DQ Her   |2428494.000|  708.00| 7.66| 0.02|  34
DQ Her   |2428502.000|  716.00| 7.73| 0.05|  21
DQ Her   |2428514.000|  728.00| 7.78| 0.03|  55
DQ Her   |2428530.000|  744.00| 7.80| 0.04|  26
DQ Her   |2428546.000|  760.00| 7.88| 0.05|  17
DQ Her   |2428562.000|  776.00| 7.73| 0.05|   8
DQ Her   |2428578.000|  792.00| 7.83| 0.07|   9
DQ Her   |2428594.000|  808.00| 7.79| 0.07|   8
DQ Her   |2428610.000|  824.00| 7.83| 0.03|  24
DQ Her   |2428626.000|  840.00| 8.08| 0.05|  26
DQ Her   |2428642.000|  856.00| 8.18| 0.04|  42
DQ Her   |2428658.000|  872.00| 8.16| 0.03|  73
DQ Her   |2428674.000|  888.00| 8.21| 0.02|  58
DQ Her   |2428690.000|  904.00| 8.18| 0.02|  91
DQ Her   |2428706.000|  920.00| 8.25| 0.03|  46
DQ Her   |2428722.000|  936.00| 8.27| 0.03|  55
DQ Her   |2428738.000|  952.00| 8.22| 0.03|  57
DQ Her   |2428754.000|  968.00| 8.24| 0.02|  62
DQ Her   |2428770.000|  984.00| 8.27| 0.03|  58
DQ Her   |2428786.000| 1000.00| 8.29| 0.03|  77
DQ Her   |2428802.000| 1016.00| 8.40| 0.03|  75
DQ Her   |2428818.000| 1032.00| 8.39| 0.04|  35
DQ Her   |2428834.000| 1048.00| 8.36| 0.03|  69
DQ Her   |2428850.000| 1064.00| 8.33| 0.04|  47
DQ Her   |2428866.000| 1080.00| 8.43| 0.03|  51
DQ Her   |2428882.000| 1096.00| 8.42| 0.04|  20
DQ Her   |2428898.000| 1112.00| 8.54| 0.05|  14
DQ Her   |2428922.000| 1136.00| 8.43| 0.06|  13
DQ Her   |2428954.000| 1168.00| 8.53| 0.03|  31
DQ Her   |2428986.000| 1200.00| 8.59| 0.03|  43
DQ Her   |2429018.000| 1232.00| 8.67| 0.03|  67
DQ Her   |2429050.000| 1264.00| 8.74| 0.03|  92
DQ Her   |2429082.000| 1296.00| 8.88| 0.03|  85
DQ Her   |2429114.000| 1328.00| 8.90| 0.03|  77
DQ Her   |2429146.000| 1360.00| 8.98| 0.03| 108
DQ Her   |2429178.000| 1392.00| 9.01| 0.03| 116
DQ Her   |2429210.000| 1424.00| 9.04| 0.03| 103
DQ Her   |2429242.000| 1456.00| 9.18| 0.04|  32
DQ Her   |2429274.000| 1488.00| 9.19| 0.07|  15
DQ Her   |2429306.000| 1520.00| 9.34| 0.08|  14
DQ Her   |2429354.000| 1568.00| 9.42| 0.04|  51
DQ Her   |2429418.000| 1632.00| 9.49| 0.03| 143
DQ Her   |2429482.000| 1696.00| 9.58| 0.03| 110
DQ Her   |2429546.000| 1760.00| 9.69| 0.04| 132
DQ Her   |2429610.000| 1824.00| 9.98| 0.04|  65
DQ Her   |2429674.000| 1888.00| 9.71| 0.09|  19
DQ Her   |2429738.000| 1952.00|10.12| 0.05|  45
DQ Her   |2429802.000| 2016.00|10.55| 0.03|  61
DQ Her   |2429866.000| 2080.00|10.64| 0.03|  84
DQ Her   |2429930.000| 2144.00|10.67| 0.03|  62
DQ Her   |2429994.000| 2208.00|10.68| 0.08|  14
DQ Her   |2430058.000| 2272.00|10.92| 0.05|  16
DQ Her   |2430122.000| 2336.00|10.95| 0.04|  45
DQ Her   |2430186.000| 2400.00|11.14| 0.03|  76
DQ Her   |2430250.000| 2464.00|11.12| 0.03|  87
DQ Her   |2430314.000| 2528.00|11.32| 0.03|  42
DQ Her   |2430378.000| 2592.00|11.60| 0.08|   4
DQ Her   |2430442.000| 2656.00|11.65| 0.05|  10
DQ Her   |2430506.000| 2720.00|11.55| 0.03|  21
DQ Her   |2430570.000| 2784.00|11.64| 0.03|  19
DQ Her   |2430634.000| 2848.00|11.60| 0.03|  33
DQ Her   |2430698.000| 2912.00|11.71| 0.05|  12
DQ Her   |2430826.000| 3040.00|11.76| 0.06|   7
DQ Her   |2430890.000| 3104.00|12.02| 0.05|  13
DQ Her   |2430954.000| 3168.00|12.00| 0.03|  26
DQ Her   |2431018.000| 3232.00|11.89| 0.04|  23
DQ Her   |2431082.000| 3296.00|11.92| 0.05|  10
DQ Her   |2431146.000| 3360.00|12.17| 0.10|   6
DQ Her   |2431210.000| 3424.00|12.31| 0.10|  14
DQ Her   |2431274.000| 3488.00|12.53| 0.05|  18
DQ Her   |2431338.000| 3552.00|12.66| 0.06|  20
DQ Her   |2431402.000| 3616.00|12.60| 0.09|  13
DQ Her   |2431466.000| 3680.00|12.45| 0.32|   2
DQ Her   |2431530.000| 3744.00|12.88| 0.12|   4
DQ Her   |2431594.000| 3808.00|12.78| 0.10|   6
DQ Her   |2431658.000| 3872.00|13.06| 0.06|  11
DQ Her   |2431722.000| 3936.00|13.06| 0.06|  14
DQ Her   |2431786.000| 4000.00|13.02| 0.08|  11
DQ Her   |2431914.000| 4128.00|13.00| 0.15|   1
DQ Her   |2431978.000| 4192.00|13.21| 0.10|   8
DQ Her   |2432074.000| 4288.00|13.09| 0.05|  24
DQ Her   |2432202.000| 4416.00|13.17| 0.09|   3
DQ Her   |2432330.000| 4544.00|13.31| 0.08|  17
DQ Her   |2432458.000| 4672.00|13.29| 0.04|  29
DQ Her   |2432714.000| 4928.00|13.48| 0.09|   9
DQ Her   |2432842.000| 5056.00|13.19| 0.07|  20
DQ Her   |2432970.000| 5184.00|13.27| 0.27|   3
DQ Her   |2433098.000| 5312.00|13.49| 0.06|  16
DQ Her   |2433226.000| 5440.00|13.49| 0.06|   7
DQ Her   |2433354.000| 5568.00|13.33| 0.19|   4
DQ Her   |2433482.000| 5696.00|13.51| 0.07|  14
DQ Her   |2433610.000| 5824.00|13.25| 0.18|   2
DQ Her   |2433738.000| 5952.00|13.40| 0.08|   4
DQ Her   |2433866.000| 6080.00|13.80| 0.07|  24
DQ Her   |2433994.000| 6208.00|13.60| 0.16|   6
DQ Her   |2434122.000| 6336.00|13.20| 0.11|   4
DQ Her   |2434250.000| 6464.00|13.62| 0.07|   9
DQ Her   |2434378.000| 6592.00|13.70| 0.11|   2
DQ Her   |2434506.000| 6720.00|14.08| 0.17|   6
DQ Her   |2434634.000| 6848.00|13.93| 0.09|  18
DQ Her   |2434762.000| 6976.00|13.90| 0.15|   1
DQ Her   |2434890.000| 7104.00|13.80| 0.06|   6
DQ Her   |2435018.000| 7232.00|13.95| 0.06|  21
DQ Her   |2435146.000| 7360.00|13.20| 0.21|   2
DQ Her   |2435274.000| 7488.00|14.12| 0.04|  52
DQ Her   |2435402.000| 7616.00|13.82| 0.08|   6
DQ Her   |2435658.000| 7872.00|13.98| 0.08|  19
DQ Her   |2435786.000| 8000.00|13.95| 0.14|   6
DQ Her   |2435914.000| 8128.00|13.90| 0.15|   1
DQ Her   |2436042.000| 8256.00|13.98| 0.11|   8
DQ Her   |2436170.000| 8384.00|14.00| 0.15|   1
DQ Her   |2436298.000| 8512.00|14.40| 0.15|   1
DQ Her   |2436426.000| 8640.00|14.05| 0.08|  11
DQ Her   |2436554.000| 8768.00|14.08| 0.08|   4
DQ Her   |2436682.000| 8896.00|14.23| 0.12|   6
DQ Her   |2436810.000| 9024.00|14.12| 0.05|  28
DQ Her   |2437066.000| 9280.00|14.22| 0.06|  10
DQ Her   |2437194.000| 9408.00|14.01| 0.05|  28
DQ Her   |2437450.000| 9664.00|14.19| 0.15|   8
DQ Her   |2437578.000| 9792.00|14.43| 0.17|  11
DQ Her   |2437706.000| 9920.00|14.20| 0.15|   1
DQ Her   |2437834.000|10048.00|14.30| 0.05|  20
DQ Her   |2437962.000|10176.00|14.43| 0.11|  12
DQ Her   |2438090.000|10304.00|14.50| 0.15|   6
DQ Her   |2438218.000|10432.00|14.37| 0.05|  27
DQ Her   |2438346.000|10560.00|14.31| 0.08|   7
DQ Her   |2438474.000|10688.00|14.44| 0.07|  18
DQ Her   |2438602.000|10816.00|14.29| 0.03|  74
DQ Her   |2438730.000|10944.00|14.42| 0.04|  26
DQ Her   |2438858.000|11072.00|14.51| 0.04|  35
DQ Her   |2438986.000|11200.00|14.38| 0.02|  89
DQ Her   |2439114.000|11328.00|14.27| 0.08|  22
DQ Her   |2439242.000|11456.00|14.55| 0.02| 204
DQ Her   |2439370.000|11584.00|14.76| 0.02|1594
DQ Her   |2439498.000|11712.00|14.33| 0.04|  41
DQ Her   |2439626.000|11840.00|14.78| 0.02| 747
DQ Her   |2439754.000|11968.00|14.83| 0.02|1421
DQ Her   |2439882.000|12096.00|14.29| 0.06|   8
DQ Her   |2440010.000|12224.00|14.70| 0.02|1498
V446 Her |2437003.300|    0.30| 5.20| 0.11|   2
V446 Her |2437003.800|    0.80| 4.83| 0.10|   3
V446 Her |2437005.300|    2.30| 4.90| 0.15|   1
V446 Her |2437005.800|    2.80| 5.40| 0.15|   1
V446 Her |2437006.300|    3.30| 5.05| 0.10|   4
V446 Her |2437006.800|    3.80| 5.57| 0.10|   3
V446 Her |2437007.300|    4.30| 5.25| 0.11|   2
V446 Her |2437008.300|    5.30| 5.50| 0.15|   1
V446 Her |2437009.300|    6.30| 5.50| 0.15|   1
V446 Her |2437009.800|    6.80| 5.40| 0.09|   3
V446 Her |2437010.500|    7.50| 5.78| 0.14|   6
V446 Her |2437011.500|    8.50| 5.60| 0.15|   1
V446 Her |2437012.500|    9.50| 5.98| 0.14|   5
V446 Her |2437013.500|   10.50| 5.92| 0.28|   5
V446 Her |2437014.500|   11.50| 6.21| 0.09|   7
V446 Her |2437015.500|   12.50| 6.04| 0.13|   5
V446 Her |2437016.500|   13.50| 6.26| 0.11|   9
V446 Her |2437017.500|   14.50| 6.17| 0.17|   6
V446 Her |2437018.500|   15.50| 6.26| 0.14|   9
V446 Her |2437019.500|   16.50| 6.10| 0.13|   4
V446 Her |2437020.500|   17.50| 6.23| 0.08|   4
V446 Her |2437021.500|   18.50| 7.20| 0.15|   1
V446 Her |2437022.500|   19.50| 6.51| 0.14|   7
V446 Her |2437023.500|   20.50| 6.78| 0.07|   5
V446 Her |2437024.500|   21.50| 6.84| 0.07|   5
V446 Her |2437025.500|   22.50| 6.88| 0.08|   4
V446 Her |2437026.500|   23.50| 6.97| 0.14|   7
V446 Her |2437027.500|   24.50| 7.04| 0.11|   9
V446 Her |2437028.500|   25.50| 6.94| 0.07|   5
V446 Her |2437029.500|   26.50| 6.97| 0.10|   7
V446 Her |2437030.500|   27.50| 7.24| 0.13|   8
V446 Her |2437031.500|   28.50| 7.13| 0.11|   3
V446 Her |2437032.500|   29.50| 7.45| 0.20|   6
V446 Her |2437033.500|   30.50| 7.38| 0.18|   6
V446 Her |2437034.500|   31.50| 7.20| 0.07|   6
V446 Her |2437036.000|   33.00| 7.39| 0.09|   7
V446 Her |2437038.000|   35.00| 7.35| 0.08|   4
V446 Her |2437040.000|   37.00| 7.53| 0.12|   9
V446 Her |2437042.000|   39.00| 7.55| 0.09|   6
V446 Her |2437044.000|   41.00| 7.57| 0.07|  12
V446 Her |2437046.000|   43.00| 7.83| 0.12|  12
V446 Her |2437048.000|   45.00| 8.25| 0.20|   8
V446 Her |2437050.000|   47.00| 7.84| 0.19|   5
V446 Her |2437052.000|   49.00| 7.90| 0.10|  10
V446 Her |2437054.000|   51.00| 8.03| 0.13|  10
V446 Her |2437056.000|   53.00| 8.01| 0.16|   8
V446 Her |2437058.000|   55.00| 8.21| 0.12|  14
V446 Her |2437060.000|   57.00| 8.15| 0.17|  11
V446 Her |2437062.000|   59.00| 8.46| 0.25|   7
V446 Her |2437064.000|   61.00| 8.90| 0.11|   2
V446 Her |2437066.000|   63.00| 8.75| 0.13|   4
V446 Her |2437068.000|   65.00| 8.90| 0.11|   2
V446 Her |2437070.000|   67.00| 8.76| 0.18|   5
V446 Her |2437072.000|   69.00| 8.65| 0.25|   6
V446 Her |2437074.000|   71.00| 8.70| 0.09|   3
V446 Her |2437076.000|   73.00| 8.14| 0.21|   5
V446 Her |2437078.000|   75.00| 8.46| 0.19|   9
V446 Her |2437080.000|   77.00| 8.71| 0.08|  10
V446 Her |2437082.000|   79.00| 8.55| 0.11|  11
V446 Her |2437084.000|   81.00| 8.47| 0.37|   3
V446 Her |2437086.000|   83.00| 8.87| 0.12|  11
V446 Her |2437088.000|   85.00| 8.63| 0.09|   9
V446 Her |2437090.000|   87.00| 8.57| 0.22|   6
V446 Her |2437092.000|   89.00| 8.89| 0.08|  10
V446 Her |2437094.000|   91.00| 8.93| 0.12|   3
V446 Her |2437096.000|   93.00| 8.95| 0.10|   6
V446 Her |2437098.000|   95.00| 8.86| 0.08|  10
V446 Her |2437100.000|   97.00| 8.90| 0.11|   6
V446 Her |2437103.000|  100.00| 9.00| 0.05|  26
V446 Her |2437107.000|  104.00| 9.07| 0.04|  22
V446 Her |2437111.000|  108.00| 9.11| 0.04|  34
V446 Her |2437115.000|  112.00| 8.94| 0.10|  16
V446 Her |2437119.000|  116.00| 9.27| 0.10|  12
V446 Her |2437123.000|  120.00| 9.27| 0.11|  12
V446 Her |2437127.000|  124.00| 9.29| 0.11|  10
V446 Her |2437131.000|  128.00| 9.38| 0.09|  24
V446 Her |2437135.000|  132.00| 9.37| 0.10|  18
V446 Her |2437139.000|  136.00| 9.40| 0.11|  21
V446 Her |2437143.000|  140.00| 9.38| 0.11|  21
V446 Her |2437147.000|  144.00| 9.62| 0.10|  16
V446 Her |2437151.000|  148.00| 9.63| 0.38|   3
V446 Her |2437155.000|  152.00| 9.91| 0.13|   7
V446 Her |2437159.000|  156.00| 9.72| 0.13|  12
V446 Her |2437163.000|  160.00| 9.83| 0.11|  16
V446 Her |2437167.000|  164.00|10.12| 0.13|  13
V446 Her |2437171.000|  168.00|10.27| 0.08|  19
V446 Her |2437177.000|  174.00|10.51| 0.06|  38
V446 Her |2437185.000|  182.00|10.58| 0.06|  38
V446 Her |2437193.000|  190.00|10.61| 0.06|  27
V446 Her |2437201.000|  198.00|10.79| 0.06|  40
V446 Her |2437209.000|  206.00|10.85| 0.06|  23
V446 Her |2437217.000|  214.00|10.98| 0.05|  30
V446 Her |2437225.000|  222.00|10.95| 0.06|  31
